"DBA4","2019-03-31","00016463B3","DE","FRAU","47B5064908","","F6B0B53739","","1999-06-27","F",""
"DBA4","2019-03-31","000C83BF2B","DE","FRAU","C35CDD068D","","4AC4B8965D","","1996-01-26","F",""
"DBA4","2019-03-31","000CCA3052","DE","FRAU","C35CDD068D","","5AC82A977D","","2015-07-29","F",""
"DBA4","2019-03-31","000EE73E22","NL","8C","387FEC0CB9","","C9124C7BA8","","1974-09-24","F",""
"DBA4","2019-03-31","001183C66C","NL","1A","9CCDAA6734","","DB7B4047BA","","2008-09-01","F",""
"DBA4","2019-03-31","002770F348","DE","HERR","4C4EAA795C","","25F97522A0","","1974-09-20","M",""
"DBA4","2019-03-31","0036B6F145","DE","FRAU","D35F3BB769","","5EF691479F","","1991-09-08","F",""
"DBA4","2019-03-31","00438CD587","NL","64","80B35A618E","","DFD06AFF20","","1993-09-30","M",""
"DBA4","2019-03-31","005C6BF39B","DE","FRAU","057F7E6551","","68734FDF1A","","2003-06-22","F",""
"DBA4","2019-03-31","0065E2D24A","DE","HERR","07C9E70F8C","","2C94DF3AB1","","1961-02-12","M",""
"DBA4","2019-03-31","00746956E8","NL","82","F28218D7C8","","5FC28DE045","","1979-09-13","M",""
"DBA4","2019-03-31","009DA53BB5","NL","CC","1C94886A7E","","BDF5BCCF02","","1999-12-28","M",""
"DBA4","2019-03-31","009DD46037","DE","HERR","9C0ABF9491","","FF03ABE160","32CC","1994-07-27","M",""
"DBA4","2019-03-31","00A8008CC5","DE","HERR","561E918DD5","","BE45BF4F86","","2007-12-14","M",""
"DBA4","2019-03-31","00C9E36162","DE","HERR","D056ECDB51","","EC4CF171EE","","1992-02-10","M",""
"DBA4","2019-03-31","00E0A04061","DE","FRAU","89B3E0077D","","3DD652EDCF","","1993-09-13","F",""
"DBA4","2019-03-31","010C66C78F","NL","7E","991E819AF9","","FEE58DA771","","1963-12-19","F",""
"DBA4","2019-03-31","010CD9CC6B","NL","91","62064BB3C4","","D649A585CB","","2007-05-28","F",""
