report_date,CUSTOMER_ID,relation_type,ASC_CUSTOMER_ID
2019-03-31,389C14DD3631ADEB99C2F9F4B4B7962836,C,6D12BF85DC76C0DEF4FE2785B7137DB22B
2019-03-31,285A50EDC95EF322A557A90DC3CF46790B,C,0BF58D4225996EB717D03A02F24A7FAFFF
2019-03-31,A55386EEDEEE9B4FEF2EDDFB276BFB49AC,C,8FFE0894B12AB02142C370BA505EBC4378
2019-03-31,095593AA697C2BCE969CB409B66A6921BA,C,66B52E6BADF507A3F7CF7815029D2DA318
2019-03-31,A2CEF226A352BE2DBA613780954681E0CB,C,36DC74A3036F5203D2B19CDC1B808A3326
2019-03-31,5C7EF031FB9E6C14475014C76C4A27F3A7,E,3091EF0D8B783A4DCC65514634BFD53F3E
2019-03-31,4321BE976E9C0ECF7D4BA8DBAD17C26B34,C,885194194064770B75FC411E54DFA03261
2019-03-31,FC952498AC9BCFE547AC8316278326FD07,C,5E7E44B163B3DA64E9E805C4D450DC963D
2019-03-31,4FBA1FEA2E008FECCA641D2E116526E00D,C,9D74E3644B5C54E0923D6AC9854B2E5DAA
2019-03-31,1BCD1C2276BC346B9E7638F21DDD19CD2A,E,C46FC587037CDACEE8D17AC22288453C5E
2019-03-31,881D455198886A238C34FB039B96145620,E,9A8A044B765E46E9611E64BBE4CF4F1A2C
2019-03-31,E4E0A21A1466551144477AD7411CF2BA03,E,407FA10EBFC5EA32554509DA16200709EB
2019-03-31,FC5343D27E3183CBAC20B46F8D78E557D3,C,792127B3999984A8391863F3520ADC20EB
2019-03-31,7B4705AF50AEDC8D86DA3552741CDDEA58,C,5C21A97168F7EA01E1F7C4BFA4F7F662DA
2019-03-31,B188F72E3DBFED9C3704694C62CEC48A66,C,F244862C920AF3C875CE2790EE7A3DCC95
2019-03-31,713179C209EA670F251098552DAECDDF96,E,16150AC3B694B5FDC4695A9A46B1E8CB5F
2019-03-31,F3DBD63282E6E7AA145D28B37F608FB06E,E,A2A249031D6253A10EAA11070CB8550F20
2019-03-31,59FD64C4D506EA861FF7515FD5F4D1AF1F,C,898638504FA09596D158486B0BBAD651FA
2019-03-31,E052DA13EC00312DFA22AB01A937753A18,C,5BAFB247A145F406880C7A6BFA16F1D166
2019-03-31,6F3CFF29686931C34865B40B538ADC2CA8,E,732BE57DDDEB489DA369BF21917297E056
2019-03-31,25267CB1A248617016A20E0D3D91EF6A5C,C,17F35385A18BF431098376808FAA8CDD72
2019-03-31,3730A43DCAC87FBB2C797040BA259F5D4D,E,FC57E2B6D2EC8C557B97CB77139846DE31
2019-03-31,B7DF0D2617471B296F8464F3A55DBCB76C,C,40999A5D7387C2EBCB149E9E5D6174A1AE
2019-03-31,E43849AE9F096766F3831F845C24B11F94,E,B1C4C183CF4C213B66877D2DE4C81E5051
2019-03-31,74BA21FAB6F4346430F91FDF3CE91BC8A5,E,76A7D76E83A6FD3662A7027BAE64767BCF
2019-03-31,10DF999A5CA7BD7FD9E29CC2851603B15E,C,137B295B117567B85107B2B5EC3A48BDF5
2019-03-31,39F70918379D99F14F086B4EE5ABB5C39E,E,BB6EDE655F7EC618D349E0D70CCC7AB1C0
2019-03-31,115B7D4BDE9DE1CCBB89110B860B1E73F2,E,52B32C648E5C683CE564E7B277F0F9BC23
2019-03-31,4639924BE8898B17123FB49EA5112C47B3,C,C0197CDFF86C2945855353A24FA7BB1FD1
2019-03-31,732BE57DDDEB489DA369BF21917297E056,E,6F3CFF29686931C34865B40B538ADC2CA8
2019-03-31,256FF6CED1F230C49D9CD550CA72F4C0D7,C,8AD47486BC4B935ECEE37D29572BE8431A
2019-03-31,3C62B3E967D7711C22A55D3EFCB24563B5,E,DDD49F7485FBEDFE68BDE50DD65A2024CA
2019-03-31,1D7CFEE8749DB81E93C1CE4E1A8EB15885,E,150B218FB4C3404C2C18F35EB322ABB435
2019-03-31,7D7B53A6E35E57D7492DAF2241C1089C7C,E,D2CA693368B7DE8EC957E646ECDADDA4D8
2019-03-31,BC5D563D650D93AEEDFA12D30FC75F8506,E,93826298EFDB7B4C5B353A51795139094C
2019-03-31,D3E9AF94A7057CC5321E6B3AA597B8E9DD,C,738192081F29F9D3606E5EB13001E17EB6
2019-03-31,0A4EE4329775D00B7005AEB1D1BD31131B,C,63E6E69A78695F9EE01BAAFBDE96EC5334
2019-03-31,87938153CD114E168882314CCD5905FC5E,E,B6403109565EF1C2D9C7E5AC123111F269
2019-03-31,8D4495FBC83A71B06E2D8EC15BDB56BE77,C,D4A52BA1C7FCFD3A2AF1DF45681AA3F737
2019-03-31,67AB0534777D9D21BB0C4710FAF66A73C9,C,4000515D7A2559EF1011DCAA345193C202
2019-03-31,41B85BE3200DD979788B43825B54C5839B,E,EF826BDEA45DE419CF0CFB819433798CB6
2019-03-31,A90C0D29BD3685BF0B704AE699C28FF462,C,5DC143EB40EA6AE46093A4EECA0F6769CD
2019-03-31,5FC05C10AB0D0BDD70C5BBF6914129864A,E,C062E3F8A14DBE53A394D1483A312AC5B8
2019-03-31,2933BF7D6B420252F31FBFBCFEAC06D3A2,E,E6CAA9DBEF938B2D0134EC1130C0E38CC7
2019-03-31,19435D67E74AA0140CB64A6E3E7EECED52,E,8F077E53987F55B9B93740F8C9FD1030F0
2019-03-31,B496F9498AD4856D4A43BA5E210E9C02B3,E,9843E3EB125B2FF4D7B23237C79819BEDC
